"Result  :  Query Result"
"Save Time: 08/27/2019 13:38:19"

"User Name:tec80591227"

"Total 22,464   Records"

"Start Time","Period","NE Name","BSC6900UCell","VS.MeanRTWP (dBm)"
08/20/2019 00:00:00,30,"RNCCBAA","Label=WBCR46, CellID=17862",-98.363
08/20/2019 00:00:00,30,"RNCCBAA","Label=WBCR45, CellID=17861",-97.308
08/20/2019 00:00:00,30,"RNCCBAA","Label=WFSO47, CellID=17873",-100.618
08/20/2019 00:00:00,30,"RNCCBAA","Label=WFSO46, CellID=17872",-96.264
08/20/2019 00:00:00,30,"RNCCBAA","Label=WFSO45, CellID=17871",-104.866
08/20/2019 00:00:00,30,"RNCCBAA","Label=WSRO47, CellID=17843",-104.997
08/20/2019 00:00:00,30,"RNCCBAA","Label=WSRO46, CellID=17842",-102.488
08/20/2019 00:00:00,30,"RNCCBAA","Label=WSRO45, CellID=17841",-103.946
08/20/2019 00:00:00,30,"RNCCBAA","Label=WBGL13, CellID=48686",-106.713
08/20/2019 00:00:00,30,"RNCCBAA","Label=WBGL12, CellID=48685",-106.825
08/20/2019 00:00:00,30,"RNCCBAA","Label=WBGL11, CellID=48684",-106.481
08/20/2019 00:00:00,30,"RNCCBAA","Label=WBGL43, CellID=48683",-103.95
08/20/2019 00:00:00,30,"RNCCBAA","Label=WBGL42, CellID=48682",-105.407
08/20/2019 00:00:00,30,"RNCCBAA","Label=WBGL41, CellID=48681",-106.45
08/20/2019 00:00:00,30,"RNCCBAA","Label=WBGL47, CellID=18683",-106.652
08/20/2019 00:00:00,30,"RNCCBAA","Label=WBGL46, CellID=18682",-100.041
08/20/2019 00:00:00,30,"RNCCBAA","Label=WBGL45, CellID=18681",-106.333
08/20/2019 00:00:00,30,"RNCCBAA","Label=WFSO73, CellID=17876",-105.522
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCN43, CellID=48673",-105.329
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCN42, CellID=48672",-106.459
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCN41, CellID=48671",-104.855
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCN47, CellID=18673",-102.705
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCN46, CellID=18672",-92.422
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCN45, CellID=18671",-96.152
08/20/2019 00:30:00,30,"RNCCBAA","Label=WTBV43, CellID=47853",-87.339
08/20/2019 00:30:00,30,"RNCCBAA","Label=WTBV42, CellID=47852",-99.757
08/20/2019 00:30:00,30,"RNCCBAA","Label=WTBV41, CellID=47851",-89.044
08/20/2019 00:30:00,30,"RNCCBAA","Label=WTBV73, CellID=17856",-105.474
08/20/2019 00:30:00,30,"RNCCBAA","Label=WTBV72, CellID=17855",-106.747
08/20/2019 00:30:00,30,"RNCCBAA","Label=WTBV71, CellID=17854",-106.702
08/20/2019 00:30:00,30,"RNCCBAA","Label=WTBV47, CellID=17853",-105.043
08/20/2019 00:30:00,30,"RNCCBAA","Label=WTBV46, CellID=17852",-106.13
08/20/2019 00:30:00,30,"RNCCBAA","Label=WTBV45, CellID=17851",-105.028
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBGL71, CellID=18684",-107.358
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBGL73, CellID=18686",-106.568
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCR73, CellID=17866",-104.82
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBGL72, CellID=18685",-107.117
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCR72, CellID=17865",-107.573
08/20/2019 00:30:00,30,"RNCCBAA","Label=WEGL71, CellID=18694",-107.082
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCR71, CellID=17864",-106.505
08/20/2019 00:30:00,30,"RNCCBAA","Label=WEGL72, CellID=18695",-107.43
08/20/2019 00:30:00,30,"RNCCBAA","Label=WSRO73, CellID=17846",-106.455
08/20/2019 00:30:00,30,"RNCCBAA","Label=WEGL73, CellID=18696",-105.708
08/20/2019 00:30:00,30,"RNCCBAA","Label=WSRO72, CellID=17845",-106.007
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCR12, CellID=47865",-98.172
08/20/2019 00:30:00,30,"RNCCBAA","Label=WSRO71, CellID=17844",-104.967
08/20/2019 00:30:00,30,"RNCCBAA","Label=WEGL43, CellID=48693",-106.535
08/20/2019 00:30:00,30,"RNCCBAA","Label=WEGL42, CellID=48692",-106.028
08/20/2019 00:30:00,30,"RNCCBAA","Label=WEGL41, CellID=48691",-106.572
08/20/2019 00:30:00,30,"RNCCBAA","Label=WSRO13, CellID=47846",-98.321
08/20/2019 00:30:00,30,"RNCCBAA","Label=WEGL47, CellID=18693",-106.743
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCN73, CellID=18676",-107.363
08/20/2019 00:30:00,30,"RNCCBAA","Label=WSRO12, CellID=47845",-98.564
08/20/2019 00:30:00,30,"RNCCBAA","Label=WEGL46, CellID=18692",-106.768
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCN72, CellID=18675",-107.156
08/20/2019 00:30:00,30,"RNCCBAA","Label=WEGL45, CellID=18691",-107.21
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCN71, CellID=18674",-107.077
08/20/2019 00:30:00,30,"RNCCBAA","Label=WSRO43, CellID=47843",-97.233
08/20/2019 00:30:00,30,"RNCCBAA","Label=WSRO42, CellID=47842",-89.113
08/20/2019 00:30:00,30,"RNCCBAA","Label=WSRO41, CellID=47841",-100.972
08/20/2019 00:30:00,30,"RNCCBAA","Label=WAGC47, CellID=17833",-106.547
08/20/2019 00:30:00,30,"RNCCBAA","Label=WAGC46, CellID=17832",-106.12
08/20/2019 00:30:00,30,"RNCCBAA","Label=WAGC45, CellID=17831",-103.951
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCR43, CellID=47863",-101.972
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCR42, CellID=47862",-100.443
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCR41, CellID=47861",-97.938
08/20/2019 00:30:00,30,"RNCCBAA","Label=WAGC73, CellID=17836",-106.227
08/20/2019 00:30:00,30,"RNCCBAA","Label=WAGC72, CellID=17835",-107.092
08/20/2019 00:30:00,30,"RNCCBAA","Label=WAGC71, CellID=17834",-104.432
08/20/2019 00:30:00,30,"RNCCBAA","Label=WAGC43, CellID=47833",-105.366
08/20/2019 00:30:00,30,"RNCCBAA","Label=WFSO43, CellID=47873",-105.218
08/20/2019 00:30:00,30,"RNCCBAA","Label=WAGC42, CellID=47832",-105.912
08/20/2019 00:30:00,30,"RNCCBAA","Label=WFSO42, CellID=47872",-104.357
08/20/2019 00:30:00,30,"RNCCBAA","Label=WAGC41, CellID=47831",-100.912
08/20/2019 00:30:00,30,"RNCCBAA","Label=WFSO72, CellID=17875",-107.091
08/20/2019 00:30:00,30,"RNCCBAA","Label=WFSO41, CellID=47871",-108.354
08/20/2019 00:30:00,30,"RNCCBAA","Label=WFSO71, CellID=17874",-105.146
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCR47, CellID=17863",-98.734
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCR46, CellID=17862",-98.132
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBCR45, CellID=17861",-97.47
08/20/2019 00:30:00,30,"RNCCBAA","Label=WFSO47, CellID=17873",-100.795
08/20/2019 00:30:00,30,"RNCCBAA","Label=WFSO46, CellID=17872",-96.398
08/20/2019 00:30:00,30,"RNCCBAA","Label=WFSO45, CellID=17871",-104.999
08/20/2019 00:30:00,30,"RNCCBAA","Label=WSRO47, CellID=17843",-105.434
08/20/2019 00:30:00,30,"RNCCBAA","Label=WSRO46, CellID=17842",-104.03
08/20/2019 00:30:00,30,"RNCCBAA","Label=WSRO45, CellID=17841",-104.483
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBGL13, CellID=48686",-106.692
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBGL12, CellID=48685",-106.885
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBGL11, CellID=48684",-106.6
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBGL43, CellID=48683",-104.136
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBGL42, CellID=48682",-105.533
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBGL41, CellID=48681",-106.435
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBGL47, CellID=18683",-106.779
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBGL46, CellID=18682",-100.089
08/20/2019 00:30:00,30,"RNCCBAA","Label=WBGL45, CellID=18681",-106.207
08/20/2019 00:30:00,30,"RNCCBAA","Label=WFSO73, CellID=17876",-105.639
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCN43, CellID=48673",-105.373
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCN42, CellID=48672",-106.715
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCN41, CellID=48671",-105.952
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCN47, CellID=18673",-102.837
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCN46, CellID=18672",-92.341
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCN45, CellID=18671",-95.847
08/20/2019 01:00:00,30,"RNCCBAA","Label=WTBV43, CellID=47853",-87.527
08/20/2019 01:00:00,30,"RNCCBAA","Label=WTBV42, CellID=47852",-100.37
08/20/2019 01:00:00,30,"RNCCBAA","Label=WTBV41, CellID=47851",-89.583
08/20/2019 01:00:00,30,"RNCCBAA","Label=WTBV73, CellID=17856",-105.619
08/20/2019 01:00:00,30,"RNCCBAA","Label=WTBV72, CellID=17855",-106.842
08/20/2019 01:00:00,30,"RNCCBAA","Label=WTBV71, CellID=17854",-106.758
08/20/2019 01:00:00,30,"RNCCBAA","Label=WTBV47, CellID=17853",-105.363
08/20/2019 01:00:00,30,"RNCCBAA","Label=WTBV46, CellID=17852",-106.261
08/20/2019 01:00:00,30,"RNCCBAA","Label=WTBV45, CellID=17851",-105.538
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBGL71, CellID=18684",-107.389
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBGL73, CellID=18686",-106.639
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCR73, CellID=17866",-104.854
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBGL72, CellID=18685",-107.243
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCR72, CellID=17865",-107.53
08/20/2019 01:00:00,30,"RNCCBAA","Label=WEGL71, CellID=18694",-107.101
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCR71, CellID=17864",-106.361
08/20/2019 01:00:00,30,"RNCCBAA","Label=WEGL72, CellID=18695",-107.418
08/20/2019 01:00:00,30,"RNCCBAA","Label=WSRO73, CellID=17846",-106.449
08/20/2019 01:00:00,30,"RNCCBAA","Label=WEGL73, CellID=18696",-105.996
08/20/2019 01:00:00,30,"RNCCBAA","Label=WSRO72, CellID=17845",-106.031
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCR12, CellID=47865",-98.201
08/20/2019 01:00:00,30,"RNCCBAA","Label=WSRO71, CellID=17844",-104.975
08/20/2019 01:00:00,30,"RNCCBAA","Label=WEGL43, CellID=48693",-106.579
08/20/2019 01:00:00,30,"RNCCBAA","Label=WEGL42, CellID=48692",-106.103
08/20/2019 01:00:00,30,"RNCCBAA","Label=WEGL41, CellID=48691",-106.907
08/20/2019 01:00:00,30,"RNCCBAA","Label=WSRO13, CellID=47846",-98.239
08/20/2019 01:00:00,30,"RNCCBAA","Label=WEGL47, CellID=18693",-107.01
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCN73, CellID=18676",-107.435
08/20/2019 01:00:00,30,"RNCCBAA","Label=WSRO12, CellID=47845",-98.603
08/20/2019 01:00:00,30,"RNCCBAA","Label=WEGL46, CellID=18692",-106.845
